NAME,ADDRESS,longitude,latitude
Tita Nancy apartment,Inmaculada Conseption brgy Isabang,13.942611,121.589
Tita Maming's apartment,"Inmaculada Conseption brgy Isabang",13.939639,121.590861
AILEEN’s Apartment building,"WHRR+MX7, San Luis, Lucena City, 4301 Quezon",13.94179487,121.592436
"Kiro’s Crib sekon plor","WHRQ+9VH, Lucena City, 1870 Quezon",13.94179451,121.589596
SEVILLENA RESIDENCE,"Lourdes subd, phase 2 Sta Monica Street, Lucena City, 4301 Quezon",13.94111626,121.5941759
7b San Antonio,"WHQV+XHR, Lucena City, 4301 Quezon",13.94038607,121.5939752
Ms CA Apartment building,"219 St Agnes, Lucena City, 4301 Quezon",13.93773778,121.5925544
Zoleta's Apartments,"Unit 1 Lot 5 Block 30, Citta Grande Phase 3, Lucena City, 4301 Quezon",13.93703296,121.593138
joshualita Apartment building,"WHPW+67J, Lucena City, 4301 Quezon",13.93653313,121.5957558
Pac-man's Maze Apartment building,"WHMW+38C, Citta Grande",13.93314355,121.5958822
Zena sayas Aquino,"WHHX+7X3, Calumpang Lucena City, Quezon",13.92945452,121.5999139
"Lucena city maharlika highway Apartment building","WHQW+XQV, Old Manila S Rd, Lucena City, 4301 Quezon",13.94067942,121.5971042
"Casa Chavez Apartment building","WHQX+P47, Old Manila S Rd, Lucena City, 4301 Quezon",13.93951885,121.598116
LIM APARTMENT Apartment building,"2079 Love St, Lucena City, 4301 Quezon",13.93910102,121.5992461
"ARK Residences — Apartments for Rent","WJR4+75H, Jade St, Lucena City, 4301 Quezon",13.94127997,121.6055004
"Jet House Apartment building ","Gomez Pearl, Lucena City, 4301 Quezon",13.94096588,121.6062939
Eballa's Apartment (Rooftop),"WJR6+28W, Lucena City, 4301 Quezon",13.94029848,121.6107726
"Eballa's Apartment (Trinidad Ext)","WJQ6+RFH, Lucena City, 4301 Quezon",13.93959029,121.6112675
JTNC Commercial Unit Apartment building,"1273 1st, Lucena City, 4301 Quezon",13.9417291,121.6039064
Neptune st jael subs. Ilayang iyam Apartment building,"WJR3+F32, Lucena City, 4301 Quezon",13.94127928,121.6027115
Ard Loft Apartment building,"WJP3+F9H, Lucena City, 4301 Quezon",13.93628001,121.6033101
Torres Residences Apartment building,"Torres Subd, 75 Zaballero St, Lucena City, 4301 Quezon",13.93757626,121.6033686
Raquel alamag galeon Apartment building,"1866 Herta, Lucena City, 4301 Quezon",13.93557482,121.603383
Lopez St. Lucena City Ilayang Iyam Apartment building,"WJP3+2VF, Earth St, Lucena City, 4301 Quezon",13.93511579,121.6047875
Nan’s House Apartment building,"0362 Uranus St Jael Subd, Lucena City",13.93731076,121.6055931
Peaceful and Calm Place by Kbartolo,"Jael Subdivision, 0342 Lopez St, Lucena City, 4301 Quezon",13.9374357,121.6051592
H&E Building Apartment building,"XH4C+6W9, Old Manila S Rd, Lucena City, 4301 Quezon",13.95604824,121.5724862
